# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 3.1413187614140465,1.5281873920000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.1808618014140464,1.5360960000000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.2201360414140465,1.5439508480000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.2591453214140462,1.5517527040000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.2978934814140466,1.5595023360000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.336384361414046,1.5672005120000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.3746218014140457,1.5748480000000002,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.412609641414047,1.5824455680000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.4503517214140462,1.5899939840000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.4878518814140453,1.5974940160000002,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.5251139614140454,1.6049464320000002,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.5621418014140467,1.6123520000000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.5989392414140458,1.6197114880000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.635510121414047,1.6270256640000005,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.671858281414046,1.6342952960000003,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.707987561414046,1.6415211520000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.7439018014140464,1.6487040000000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.779604841414047,1.6558446080000004,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
 3.815100521414047,1.6629437440000006,3.0,0.0,0.2,0.0,0,0.0,0.0,0.0
